mensaje,etiqueta
"¡Gana dinero fácil ahora!",spam
"Tu cuenta ha sido verificada",no_spam
"Oferta exclusiva solo por hoy",spam
"Reunión a las 3PM",no_spam
"Compra ahora y recibe un bono",spam
"Actualización del proyecto",no_spam
"Crédito preaprobado disponible",spam
"Tu factura ha sido pagada",no_spam
"¡Ganador! Reclama tu premio",spam
"Recordatorio: Junta mañana",no_spam
"Descuento del 50% hoy",spam
"Confirmación de cita médica",no_spam
"Millones esperan por ti",spam
"Cambio de contraseña exitoso",no_spam
"Trabaja desde casa, gana $$$",spam
"Documentos adjuntos revisados",no_spam
"¡Urgente! Tu paquete está retenido",spam
"Recordatorio de pago pendiente",no_spam
"Herbalife - Oportunidad única",spam
"Tu pedido ha sido enviado",no_spam
"Bitcoins gratis si respondes",spam
"Confirmación de reserva hotel",no_spam
"¡Última oportunidad! 90% OFF",spam
"Estado de tu solicitud: Aprobado",no_spam
"Préstamos sin aval, baja tasa",spam
"Informe mensual disponible",no_spam
"¡Felicidades! Has sido seleccionado",spam
"Recordatorio: Cumpleaños de Juan",no_spam
"Viagra a mitad de precio",spam
"Cambios en los términos de servicio",no_spam
"Gana $1000 en 1 hora",spam
"Tu suscripción expira pronto",no_spam
"¡Sorteo! Participa y gana",spam
"Horario de clases actualizado",no_spam
"iPhone gratis por tiempo limitado",spam
"Confirmación de entrega #4582",no_spam
"¡Increíble! Pierde peso rápido",spam
"Alerta de seguridad en tu cuenta",no_spam
"Diplomas universitarios falsos",spam
"Resumen de tu actividad reciente",no_spam
"¡Atención! Oferta relámpago",spam
"Recordatorio: Vacuna anual",no_spam
"Herramientas para hacerse rico",spam
"Tu feedback es importante",no_spam
"¡Solo hoy! 2x1 en todo",spam
"Recordatorio de backup automático",no_spam
"Amplía tu miembro 5 pulgadas",spam
"Confirmación de transferencia",no_spam
"¡No pierdas esta oportunidad!",spam
"Estado de tu vuelo: A tiempo",no_spam
"Gana dinero con criptomonedas",spam
"Cambio en la política de privacidad",no_spam
"¡Farmacia online! Descuentos",spam
"Tu dispositivo fue localizado",no_spam
"Princesa nigeriana te espera",spam
"Recordatorio: Pago de alquiler",no_spam
"¡Quema grasa mientras duermes!",spam
"Confirmación de pedido #7845",no_spam
"¡Inversiones seguras 200% ROI",spam
"Actualización de software disponible",no_spam
"¡Llama ya! Consulta gratuita",spam
"Horario de mantenimiento programado",no_spam
"¡Solución para la calvicie!",spam
"Tu paquete llegará mañana",no_spam
"¡Inscríbete! Seminario millonario",spam
"Recordatorio: Revisión dental",no_spam
"¡Rápido! Cupones expirando",spam
"Estado de tu solicitud: Completo",no_spam
"¡Aumenta tus senos naturalmente!",spam
"Cambio en tu horario de trabajo",no_spam
"¡Oferta! Viajes todo incluido",spam
"Recordatorio: Pago de tarjeta",no_spam
"¡Fórmula secreta para ganar!",spam
"Confirmación de suscripción",no_spam
"¡Dinero rápido sin esfuerzo!",spam
"Alerta: Actividad inusual",no_spam
"¡Tablet gratis por tu opinión!",spam
"Recordatorio: Entrega de informe",no_spam
"¡Método prohibido de inversión!",spam
"Tu seguro ha sido renovado",no_spam
"¡Ejercicio de 1 minuto diario!",spam
"Cambios en el reglamento interno",no_spam
"¡Tarjetas de crédito sin verificación!",spam
"Confirmación de donación recibida",no_spam
"¡Secretos bancarios revelados!",spam
"Recordatorio: Reunión de padres",no_spam
"¡Producto milagroso para la piel!",spam
"Estado de tu cuenta: Activo",no_spam
"¡Invierte en oro con 300% ganancia!",spam
"Actualización de datos requerida",no_spam
"¡Licuados para músculos grandes!",spam
"Horario de atención modificado",no_spam
"¡Cursos con certificado falso!",spam
"Confirmación de entrevista laboral",no_spam
"¡Gana $5000 semanales!",spam
"Recordatorio: Vacaciones programadas",no_spam
"¡Píldoras para memoria perfecta!",spam
"Cambios en la política de devoluciones",no_spam
"¡Hoteles 5 estrellas a $50!",spam
"Estado de tu reparación: Completado",no_spam
"¡Método para ganar la lotería!",spam
"Recordatorio: Pago de servicios",no_spam
"¡Inyecciones para rejuvenecer!",spam
"Confirmación de cambio de dirección",no_spam